,Pred,Label
1,0.5,0
1,0.5,1
2,0.5,0
2,0.5,1
3,0.5,1
5,0.5,1
5,0.5,0
6,0.5,1
7,0.5,0
7,0.5,1
8,0.5,0
8,0.5,1
9,0.5,0
10,0.5,1
11,0.5,0
11,0.5,1
12,0.5,1
12,0.5,0
13,0.5,0
13,0.5,1
14,0.5,0
14,0.5,1
15,0.5,0
15,0.5,1
17,0.5,1
17,0.5,0
18,0.5,0
19,0.5,1
19,0.5,0
21,0.5,0
22,0.5,1
22,0.5,0
23,0.5,0
24,0.5,0
25,0.5,1
26,0.5,0
27,0.5,1
28,0.5,1
28,0.5,0
29,0.5,0
30,0.5,0
31,0.5,0
31,0.5,1
32,0.5,1
32,0.5,0
33,0.5,0
34,0.5,1
35,0.5,1
35,0.5,0
36,0.5,1
36,0.5,0
37,0.5,0
37,0.5,1
38,0.5,0
39,0.5,0
39,0.5,1
40,0.5,0
40,0.5,1
42,0.5,0
42,0.5,1
43,0.5,1
43,0.5,0
44,0.5,1
45,0.5,1
45,0.5,0
46,0.5,0
46,0.5,1
47,0.5,1
48,0.5,1
48,0.5,0
49,0.5,1
49,0.5,0
51,0.5,1
51,0.5,0
52,0.5,1
52,0.5,0
53,0.5,0
53,0.5,1
54,0.5,0
54,0.5,1
55,0.5,0
56,0.5,0
57,0.5,1
58,0.5,0
59,0.5,1
60,0.5,0
60,0.5,1
61,0.5,1
62,0.5,0
63,0.5,0
64,0.5,0
66,0.5,0
68,0.5,0
69,0.5,0
71,0.5,0
74,0.5,0
75,0.5,0
76,0.5,0
77,0.5,0
79,0.5,0
80,0.5,0
81,0.5,0
82,0.5,0
83,0.5,0
84,0.5,0
85,0.5,0
86,0.5,0
87,0.5,0
88,0.5,0
90,0.5,0
91,0.5,0
96,0.5,0
98,0.5,0
99,0.5,0
100,0.5,0
101,0.5,0
102,0.5,0
103,0.5,0
105,0.5,0
107,0.5,0
108,0.5,0
110,0.5,0
114,0.5,0
117,0.5,0
118,0.5,0
119,0.5,0
120,0.5,0
